派 01-300331 美瑛通運株式会社 北海道上川郡美瑛町
派 01-300334 円山運送株式会社 北海道札幌市西区
派 02-300040 株式会社トーソー 青森県青森市
派 03-300033 株式会社イワテ美容商事 岩手県盛岡市
派 06-300059 株式会社キャリアボックス 山形県山形市
派 06-300060 株式会社高橋工務店 山形県西置賜郡小国町
派 07-010031 株式会社明翔　福島事業所 福島県福島市
派 07-010033 株式会社マクサムコミュニケーションズ 福島県福島市
株式会社マクサムコミュニケーションズ　郡山事務所 福島県郡山市
派 07-300154 株式会社木田商事　いわき営業所 福島県いわき市
派 07-300217 株式会社ひまわりキャリアサービス 福島県郡山市
派 08-020020 株式会社友工社 茨城県日立市
派 08-040047 株式会社つくば電気通信　TECプランニング事業部 茨城県土浦市
派 08-300167 株式会社ティーアイエフ 茨城県鹿嶋市
派 08-300169 株式会社人財堂 茨城県龍ケ崎市
派 09-010065 株式会社久和　スタッフサービス課 栃木県宇都宮市
派 09-090011 株式会社オーエヌシー 栃木県小山市
株式会社オーエヌシー　那須塩原営業所 栃木県那須塩原市
派 09-300148 サンクスワーク株式会社 栃木県小山市
派 09-300208 株式会社ネクスト 栃木県宇都宮市
派 10-050003 株式会社長島エンジニアリング 群馬県太田市
派 10-300211 株式会社エス・エス・シー 群馬県太田市
派 11-010019 有限会社ベルスタッフ　本部事業所 埼玉県川口市
派 12-300278 株式会社ネクストステージ 千葉県野田市
派 12-300285 サンライズ・エンジニアリング株式会社我孫子本社 千葉県我孫子市
サンライズ・エンジニアリング株式会社東京事務所 東京都中央区
派 12-300287 ＴＤＫテクノ株式会社 千葉県市川市
派 12-300430 レグセントジョイラー株式会社 千葉県松戸市
派 12-300431 株式会社ユーアイ・テクノ・サービス 千葉県浦安市
派 12-300432 一般財団法人　南房総農業支援センター 千葉県南房総市
派 13-010461 株式会社グレイス 東京都千代田区
株式会社グレイス　関西支社 大阪府大阪市中央区
派 13-010569 キヤノンビズアテンダ株式会社 東京都品川区
派 13-011201 株式会社コトラ 東京都港区
派 13-011206 株式会社タクト 東京都中央区
派 13-011208 日進技研株式会社 東京都千代田区
派 13-050063 株式会社ワイ・テック 東京都新宿区
派 13-050205 株式会社ＩＴＣネットワーク 東京都品川区
派 13-070516 株式会社トモノカイ 東京都渋谷区
派 13-080370 株式会社アイ・エヌ・ジー・エンタープライズ 東京都文京区
派 13-100013 ハローパワー株式会社 東京都豊島区
派 13-130023 岡三ビジネスサービス株式会社 東京都中央区
派 13-150052 株式会社ケミトロニクス 東京都東大和市
